rule_id,rule_text;
R101,grant delete on nodes (e:SecurityEvent) where e.status = "critical" to Senior_Doctor;
R102,grant modify{status} on nodes (e:SecurityEvent) to Senior_Doctor;
R103,deny create on nodes (p:Patient) where p.age < 18 to Medical_Intern;
R104,grant modify{*} on nodes (p:Patient) to Medical_Intern;
R105,grant create on nodes (*) to Medical_Intern;
R106,grant traverse on nodes (p:Patient) where p.condition = "stable" to Medical_Intern;
R107,deny delete on nodes (p:Patient) where p.status = "critical" to Medical_Intern;
R108,deny delete on nodes (p:Patient) where p.status != "discharged" or p.status = "critical" to Medical_Intern;
R109,grant delete on relationships (t:TREATS) where t.priority >= 5 to Head_Physician;
R110,grant add{*} on relationships (t:TREATS) to Head_Physician;
R111,grant traverse on relationships (t:TREATS) where t.status = "active" to Head_Physician;
R112,grant modify{status} on relationships (t:TREATS) to Head_Physician;
R113,grant create on nodes (t:Treatment) where t.cost > 10000 to Billing_Manager;
R114,grant modify{cost} on nodes (t:Treatment) to Billing_Manager;
R115,grant delete on nodes (t:Treatment) where t.approved = "no" to Billing_Manager;
R116,grant add{*} on nodes (t:Treatment) to Billing_Manager;
R117,grant create on relationships (pr:PRESCRIBES) where pr.dosage > 500 to Doctor;
R118,grant remove{dosage} on relationships (pr:PRESCRIBES) to Doctor;
R119,grant traverse on relationships (pr:PRESCRIBES) where pr.frequency = "daily" to Doctor;
R120,grant modify{*} on relationships (pr:PRESCRIBES) to Doctor;
